long,lat,id,nombre,categoria,cocina,ambientacion,telefono,mail,horario,calle_nombre,calle_altura,calle_cruce,direccion_completa,barrio,comuna,codigo_postal,codigo_postal_argentino
"-583,923,528","-346,139,539",677,ALA...,RESTAURANTE,,,,,,BELGRANO,1836,,BELGRANO AV. 1836,Balvanera,3,1094,C1094AAN
"-584,105,058","-346,105,257",679,ALABAMA,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4861 2210,,,RIVADAVIA,3102,,RIVADAVIA AV. 3102,Balvanera,3,1203,C1203AAQ
"-58,434,062","-345,758,679",13,ALABAMA,RESTAURANTE,,,,,,SANTA FE,5270,,SANTA FE AV. 5270,Palermo,14,1425,C1425BIO
"-583,905,314","-346,114,376",1337,ALAI,CAFE,MINUTAS,MODERNO,4377 2363,,,ALSINA ADOLFO,1702,,"ALSINA, ADOLFO 1702",Monserrat,1,1088,C1088AAR
"-583,835,654","-346,091,224",1339,ALAMEDA,RESTAURANTE,INTERNACIONAL,,4381 2859,,lunes a lunes de 12 a 15 y de 20 a 00,DE MAYO,1203,,DE MAYO AV. 1203,Monserrat,1,1085,C1085ABC
"-583,976,585","-345,871,959",1642,ALAMEDA,RESTAURANTE,MINUTAS,MODERNO,4803 3380,,,LAS HERAS GRAL.,2324,,LAS HERAS GENERAL AV. 2324,Recoleta,2,1425,C1425ASN
,,,ALAMEDA RESTAURANTE,Restaurante,,,4381-2859,consultas@alameda-restaurante.com.ar,,,,,AV. DE MAYO 1201,MONSERRAT,1,,
"-583,734,006","-346,160,696",2548,ALARICO,RESTAURANTE,ESPAÃ‘OLA,CLASICO PORTEÑO,,alarico_tapas@hotmail.com,lunes a viernes de 12 a 00 - sábado de 20 a 3,CHILE,518,,CHILE 518,San Telmo,1,1098,C1098AAL
"-584,072,536","-346,102,915",680,ALBERNIZ,CAFE,PIZZERIA,CLASICO PORTEÑO,4861 7500,,,RIVADAVIA,2886,,RIVADAVIA AV. 2886,Balvanera,3,1203,C1203AAN
"-583,775,746","-346,196,929",1094,ALBOR,BAR,PARRILLA,CLASICO PORTEÑO,,,,CALVO CARLOS,819,,"CALVO, CARLOS 819",Constitucion,1,1102,C1102AAQ
"-584,305,246","-346,052,394",611,ALDEA DE ALBARICOQUE,RESTAURANTE,,,4865 4207,,,LAMBARE,847,,LAMBARE 847,Almagro,5,1185,C1185ABA
,,,ALDO'S RESTORAN VINOTECA,Restaurante,,,4343-0823,info@aldosvinoteca.com,,,,,MORENO 372,MONSERRAT,1,,
"-584,294,703","-345,990,424",2657,ALE- ALE,,PARRILLA,RUSTICA,4867 4618,,,ESTADO DE ISRAEL,4503,,ESTADO DE ISRAEL AV. 4503,Villa Crespo,15,1185,C1185AAE
"-583,855,733","-345,984,218",1952,ALEA,CAFE,,,,,,TALCAHUANO,888,,TALCAHUANO 888,Retiro,1,1013,C1013AAR
"-583,887,759","-345,993,069",1955,ALEKS,CAFE,,,,,,CORDOBA,1541,,CORDOBA AV. 1541,Recoleta,2,1055,C1055AAF
"-583,714,442","-346,007,914",2097,ALEXANDER,RESTAURANTE,INTERNACIONAL,,4315 0112,,,TUCUMAN,304,,TUCUMAN 304,San Nicolas,1,1049,C1049AAH
"-584,187,259","-345,890,033",12,ALFONSO 1RO,RESTAURANTE,,,,,,PARAGUAY,3948,,PARAGUAY 3948,Palermo,14,1425,C1425BSD
"-584,025,773","-345,953,997",1643,ALFRED,RESTAURANTE,MINUTAS,MODERNO,4827 4200,alfred_cocinabar@hotmail.com,,PUEYRREDON AV,1335,,PUEYRREDON AV. 1335,Recoleta,2,1118,
"-583,720,947","-345,995,978",2098,ALGO NATURAL,RESTAURANTE,TRADICIONAL,MODERNO,4312 5976,,lunes a viernes de 8 a 16,VIAMONTE,351,,VIAMONTE 351,San Nicolas,1,1053,C1053ABG
"-584,852,127","-346,347,287",2630,ALHAMBRA,RESTAURANTE,PIZZERIA,CLASICO PORTEÑO,4674 3588,,,RIVADAVIA,8628,,RIVADAVIA AV. 8628,Velez Sarsfield,10,1407,C1407DYV
"-584,316,064","-345,890,697",14,ALHARACA,RESTAURANTE,MINUTAS,MODERNO,4831 2787,,,GORRITI,5045,,GORRITI 5045,Palermo,14,1414,C1414BJQ
"-58,373,997","-34,601,387",2100,ALIMENTAR,RESTAURANTE,,,4328 7700,www.alimentar.com,,SAN MARTIN,570,,SAN MARTIN 570,San Nicolas,1,1004,C1004AAL
"-583,828,563","-346,026,351",2099,ALIMENTARI,RESTAURANTE,INTERNACIONAL,,4384 9364,www.alimentari.com,,LAVALLE,1120,,LAVALLE 1120,San Nicolas,1,1048,C1048AAD
"-583,720,883","-346,043,626",2101,ALIMENTOS,RESTAURANTE,FAST FOOD,MODERNO,4343 5656,info@alimentos.com,lunes a viernes de 7 a 19,SARMIENTO,372,,SARMIENTO 372,San Nicolas,1,1041,C1041AAH
"-585,042,993","-34,652,905",1285,ALL VERDI,RESTAURANTE,INTERNACIONAL,MODERNO,4686 2932,,,OLIDEN,1493,,OLIDEN 1493,Mataderos,9,1440,C1440CQC
"-584,061,018","-345,956,178",1645,ALMACEN NATURISTA,RESTAURANTE,NATURISTA,MODERNO,4963 1513,,lunes a sábado de 8 a 22,MANSILLA LUCIO NORBERTO GRAL.,2740,,"MANSILLA, LUCIO NORBERTO, GENERAL 2740",Recoleta,2,1425,C1425BPF
"-58,435,243","-345,815,867",15,ALMONTE,RESTAURANTE,ESPAÃ‘OLA,ESPAÑOL,4773 7070,,,BONPLAND,1939,,BONPLAND 1939,Palermo,14,1414,C1414CMY
"-584,349,591","-346,175,447",956,ALO - ALO,RESTAURANTE,TRADICIONAL,ELEGANTE,4902 8050,,,RIVADAVIA,4945,,RIVADAVIA AV. 4945,Caballito,6,1424,C1424CEE
"-584,571,309","-346,267,532",1123,ALPINA SKATE,PUB,SANDWICHERIA,CLASICO PORTEÑO,4611 9218,alpina@fibertel.com.ar,,RIVADAVIA,6431,,RIVADAVIA AV. 6431,Flores,7,1406,C1406GLH
"-583,704,471","-34,610,076",1338,ALSINA 300,RESTAURANTE,MINUTAS,MODERNO,4331 7636,,lunes a viernes de 8 a 19.30,ALSINA ADOLFO,300,,"ALSINA, ADOLFO 300",Monserrat,1,1087,C1087AAB
"-584,360,137","-346,258,981",958,ALTO GOYENO,RESTAURANTE,TRADICIONAL,MODERNO,4924 6500,,,GOYENA PEDRO,599,,"GOYENA, PEDRO AV. 599",Caballito,6,1424,C1424BSF
"-584,862,941","-34,640,688",1522,ALVEAR PARK,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4881 0102,,lunes a lunes de 7 a 23,ALBERDI JUAN BAUTISTA,4302,,"ALBERDI, JUAN BAUTISTA AV. 4302",Parque Avellaneda,9,1407,C1407GZX
"-584,707,515","-346,311,188",1125,AMADEUS,PUB,,,,,,RIVADAVIA,7472,,RIVADAVIA AV. 7472,Flores,7,1406,C1406GMR
"-584,079,654","-346,196,679",682,AMAKAI,CAFE,MINUTAS,CLASICO PORTEÑO,4932 7909,,,INDEPENDENCIA,3001,,INDEPENDENCIA AV. 3001,Balvanera,3,1225,C1225AAM
"-584,696,312","-345,827,771",2749,AMARETTO,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4552 0080,,lunes a lunes de 8 a 23,CHORROARIN,1206,,CHORROARIN AV. 1206,Villa Ortuzar,15,1427,C1427CXW
"-584,973,452","-345,969,889",2696,AMBAR BUENOS AIRES,PUB,SANDWICHERIA,MODERNO,,,,BEIRO FRANCISCO,3124,,"BEIRO, FRANCISCO AV. 3124",Villa Del Parque,11,1419,C1419HYS
"-584,413,302","-3,460,888",957,AMERICA,RESTAURANTE,TRADICIONAL,,4982 0398,,lunes a domingo mediodía y noche,HIDALGO,899,,HIDALGO 899,Caballito,6,1405,C1405BCM
"-583,749,608","-346,089,784",1340,AMERICA DELI,CAFE,MINUTAS,MODERNO,4381 4807,,,PERU,85,,PERU 85,Monserrat,1,1067,C1067AAA
"-583,864,079","-346,133,748",1342,AMERICANO,BAR,,,4982 7790,,,BELGRANO,1421,,BELGRANO AV. 1421,Monserrat,1,1093,C1093AAC
"-583,818,341","-346,165,376",1341,AMICO,CAFE,MINUTAS,MODERNO,4381 4807,,,CHILE,1110,,CHILE 1110,Monserrat,1,1098,C1098AAX
"-583,866,954","-346,064,118",2102,AMIGOS,BAR,MINUTAS,CLASICO PORTEÑO,4372 2671,,lunes a viernes de 7 a 22,PERON JUAN DOMINGO TTE.,1417,,"PERON, JUAN DOMINGO, TTE. GENERAL 1417",San Nicolas,1,1037,C1037ACA
"-58,387,695","-345,862,136",1644,AMIGOS PROPIETARIOS,RESTAURANTE,TRADICIONAL,,,,lunes a domingo mediodía y noche,AYACUCHO,2183,,AYACUCHO 2183,Recoleta,2,1112,C1112AAM
"-58,381,511","-346,163,939",1095,AMIKO,RESTAURANTE,PIZZERIA,,4381 4807,,lunes a domingo de 12 a 15 y de 20 a 00,LIMA,700,,LIMA 700,Monserrat,1,1073,C1073AAN
"-583,701,506","-346,021,484",2104,ANAHI,BAR,MINUTAS,CLASICO PORTEÑO,4311 2412,,lunes a viernes de 7 a 21,ALEM LEANDRO N.,481,,"ALEM, LEANDRO N. AV. 481",San Nicolas,1,1003,C1003AAE
,,,ANASAGASTI,Restaurante,,,15-4412-2487,info@anasagasti.com.ar,,,,,ANASAGASTI 2067,PALERMO,14,,
"-58,405,294","-345,933,197",1646,ANCHORENA PLAZA,RESTAURANTE,PIZZERIA,MODERNO,4484 8951,,,SANTA FE,2702,,SANTA FE AV. 2702,Recoleta,2,1425,C1425BGP
"-584,345,805","-345,756,391",17,ANDEN,RESTAURANTE,INTERNACIONAL,MODERNO,4773 0707,,,SANTA FE,5302,,SANTA FE AV. 5302,Palermo,14,1425,C1425BIP
"-58,413,884","-345,908,436",16,ANGECINA,RESTAURANTE,INTERNACIONAL,MODERNO,4825 1140,,lunes a domingo de 8.30 a 2,REPUBLICA DOMINICANA,3386,,REPUBLICA DOMINICANA 3386,Palermo,14,1425,C1425GKB
"-584,421,058","-34,586,422",18,ANGELIN,RESTAURANTE,PIZZERIA,MODERNO,4774 3836,,,CORDOBA,5770,,CORDOBA AV. 5770,Chacarita,15,1414,C1414BBQ
"-584,136,009","-345,907,687",19,ANGELINA,RESTAURANTE,INTERNACIONAL,MODERNO,4825 1111,angelinarestoran@hotmail.com,,CHARCAS,3386,,CHARCAS 3386,Palermo,14,1425,C1425BMR
"-584,398,632","-346,008,682",2854,Angelito,BAR,MINUTAS,TRADICIONAL - BARRIO,4855-9667,,lunes a lunes de 6 a 2,Camargo,490,,,Villa Crespo,15,1414,C1414AHJ
"-584,057,703","-345,927,107",1647,ANGELO'S,CAFE,SANDWICHERIA,CLASICO PORTEÑO,,,lunes a sábado de 19 a 7,SANTA FE,2779,,SANTA FE AV. 2779,Recoleta,2,1425,C1425BGC
"-584,605,471","-345,440,904",1496,ANGELUS,RESTAURANTE,PIZZERIA,MODERNO,4703 2911,,,DEL LIBERTADOR,7598,,DEL LIBERTADOR AV. 7598,NuÑes,13,1429,C1429BMV
"-584,713,519","-346,312,855",1126,ANGLO,CAFE,,,,,,RIVADAVIA,7510,,RIVADAVIA AV. 7510,Flores,7,1406,C1406GMS
"-583,724,071","-346,020,636",2103,ANGOSTURA,RESTAURANTE,MINUTAS,MODERNO,4314 2334,,lunes a viernes de 7 a 20,LAVALLE,400,,LAVALLE 400,San Nicolas,1,1047,C1047AAH
,,,ANGUS,Restaurante,,,4524-5924,urquiza@angusparrilla.com.ar,,,,,AVALOS 2184,VILLA URQUIZA,12,,
,,,ANGUS,Restaurante,,,4774-4709,baez@angusparrilla.com.ar,,,,,BAEZ 444,PALERMO,14,,
"-584,692,864","-34,630,731",1129,ANIMATE,CAFE,MINUTAS,MODERNO,,,,RIVADAVIA,7390,,RIVADAVIA AV. 7390,Flores,7,1406,C1406GMQ
"-584,501,856","-345,871,349",562,ANITA,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,,,,NEWBERY JORGE,3902,,"NEWBERY, JORGE AV. 3902",Chacarita,15,1427,C1427EGS
"-583,897,818","-346,007,606",2105,ANKER,RESTAURANTE,INTERNACIONAL,,4371 9253,,,VIAMONTE,1602,,VIAMONTE 1602,San Nicolas,1,1055,C1055ABF
,,,ANTA HELADOS,Heladería,,,4674-2222,heladeriaanta@gmail.com,,,,,JUAN B. JUSTO 6357,VILLA SANTA RITA,11,,
"-584,466,472","-345,681,327",20,ANTAÑO BAR,BAR,MINUTAS,CLASICO PORTEÑO,4706 3718,,,VUELTA DE OBLIGADO,1101,,VUELTA DE OBLIGADO 1101,Palermo,14,1426,C1426BEA
"-584,297,355","-345,862,885",21,ANTE SALA,BAR,MINUTAS,MODERNO,4833 4200,,,COSTA RICA,4969,,COSTA RICA 4969,Palermo,14,1414,C1414BSO
,,,ANTIGUA TASCA DE CUCHILLEROS,Restaurante,,,4300-5798,antiguatasca@hotmail.com,,,,,CARLOS CALVO 319,SAN TELMO,1,,
"-584,320,467","-34,592,514",22,ANUSH,BAR,ARMENIA,ARMENIA,4631 1349,,,ARMENIA,1242,,ARMENIA 1242,Palermo,14,1414,C1414DKB
"-583,807,639","-346,065,398",2106,APETECE,RESTAURANTE,INTERNACIONAL,MODERNO,5237 5664,www.apetece.com.ar,lunes a viernes de 8 a 20,PELLEGRINI CARLOS,169,,"PELLEGRINI, CARLOS 169",San Nicolas,1,1009,C1009ABC
"-584,120,065","-346,153,159",681,APLAUSOS,RESTAURANTE,,,,,,BELGRANO,3251,,BELGRANO AV. 3251,Balvanera,3,1210,C1210AAA
"-583,779,913","-346,024,196",2108,ARABIAN FOOD,RESTAURANTE,FAST FOOD,MODERNO,4322 6705,,lunes a viernes de 7 a 1 - sábado de 10 a 2 - domingo de 12 a 1,LAVALLE,796,,LAVALLE 796,San Nicolas,1,1047,C1047AAP
"-583,953,605","-346,042,342",683,ARACA BUENOS AIRES,RESTAURANTE,,,,,,AYACUCHO,408,,AYACUCHO 408,Balvanera,3,1026,C1026AAB
"-583,769,913","-346,000,049",2107,ARCANGEL,RESTAURANTE,MINUTAS,MODERNO,4322 4502,,lunes a viernes de 8 a 20,VIAMONTE,702,,VIAMONTE 702,San Nicolas,1,1053,C1053ABP
"-583,813,062","-345,941,131",1953,ARENALES 999,BAR,,,,,,ARENALES,999,,ARENALES 999,Retiro,1,1061,C1061AAE
"-584,301,903","-345,708,333",23,AREVALO AL FONDO,RESTAURANTE,TRADICIONAL,ELEGANTE,4776 5261,arevaloalfondo@hotmail.com,,AREVALO,3056,,AREVALO 3056,Palermo,14,1426,C1426DJH
"-584,812,315","-346,083,792",2690,ARGOT CAFE,PUB,SANDWICHERIA,BRITANICA,4588 1329,www.bairesrestobar.com.ar,,ALVAREZ JONTE,2744,,ALVAREZ JONTE AV. 2744,Villa Santa Rita,11,1416,C1416EXZ
"-584,299,211","-345,723,309",24,ARGUIBEL,RESTAURANTE,REGIONAL,BOHEMIO,4899 0700,www.arguibel.com,,ARGUIBEL ANDRES,2826,,"ARGUIBEL, ANDRES 2826",Palermo,14,1426,C1426DKB
"-585,237,445","-346,392,082",1266,ARI- CA,RESTAURANTE,MINUTAS,MODERNO,4641 0076,,,COSQUIN,25,,COSQUIN 25,Liniers,9,1408,C1408GIA
"-585,220,315","-346,389,915",1268,ARI- CA II,RESTAURANTE,MINUTAS,MODERNO,,,,RIVADAVIA,11156,,RIVADAVIA AV. 11156,Liniers,9,1408,C1408AAY
"-584,307,484","-345,916,621",25,ARMENIA RETAURANT,RESTAURANTE,ARMENIA,ARMENIA,4776 2500,,,ARMENIA,1366,,ARMENIA 1366,Palermo,14,1414,C1414DKD
"-584,363,126","-34,618,327",959,ARMY CAFE,RESTAURANTE,INTERNACIONAL,MODERNO,4903 8802,sugerencias@cafearmy.coma.r,,RIVADAVIA,5000,,RIVADAVIA AV. 5000,Caballito,6,1424,C1424CER
"-58,375,284","-346,030,576",2109,AROMA,RESTAURANTE,MINUTAS,MODERNO,4326 6707,aromaa@arcor.com,,FLORIDA,428,,FLORIDA 428,San Nicolas,1,1005,C1005AAJ
"-583,850,845","-345,957,228",1956,AROMA AMBIENTAL,BAR,,,,,,SANTA FE,1260,,SANTA FE AV. 1260,Retiro,1,1059,C1059ABT
"-583,662,253","-346,278,258",1223,AROMA EXPRESS,RESTAURANTE,MINUTAS,MODERNO,4300 6552,,lunes a domingo de 8 a 00,PI Y MARGALL,775,,PI Y MARGALL 775,Boca,4,1155,C1155AHC
"-584,317,958","-346,021,724",613,AROMI,RESTAURANTE,MINUTAS,MODERNO,,,,CORRIENTES,4690,,CORRIENTES AV. 4690,Almagro,5,1195,C1195AAS
"-584,598,773","-346,279,631",1130,AROMI,BAR,ITALIANA,MODERNO,4633 6915,,,RIVADAVIA,6701,,RIVADAVIA AV. 6701,Flores,7,1406,C1406GLK
"-584,282,405","-346,203,492",960,ARRIGO,CAFE,,,,,,LA PLATA,479,,LA PLATA AV. 479,Caballito,6,1235,C1235ABB
"-583,726,089","-346,421,465",896,ARSENO,RESTAURANTE,PIZZERIA,CLASICO PORTEÑO,4301 7894,,,ISABEL LA CATOLICA,1094,,ISABEL LA CATOLICA 1094,Barracas,4,1268,C1268ACV
"-583,725,886","-346,219,662",2550,ARTE CAFE,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4361 2002,,lunes a domingo de 7.30 al cierre,SAN JUAN,480,,SAN JUAN AV. 480,San Telmo,1,1147,C1147AAP
"-584,297,536","-345,875,748",26,ARTE DE MAFIA,RESTAURANTE,ITALIANA,ITALIANA,4831 9213,www.artedemafia.com.ar,,EL SALVADOR,4975,,EL SALVADOR 4975,Palermo,14,1414,C1414BPO
"-583,830,195","-346,156,152",1344,ARTESANIA DEL SABOR,RESTAURANTE,TRADICIONAL,MODERNO,4381 9075,,,SALTA,622,,SALTA 622,Monserrat,1,1074,C1074AAN
"-584,303,101","-34,602,329",612,ARTON,RESTAURANTE,INTERNACIONAL,MODERNO,4862 5975,,,CORRIENTES,4606,,CORRIENTES AV. 4606,Almagro,5,1195,C1195AAS
"-583,820,515","-346,130,688",1345,ARTUR,RESTAURANTE,,,,,,BELGRANO AV,1119,,BELGRANO AV. 1119,Monserrat,1,1092,C1092AAL
,,,ASADOR CRIOLLO LA ESTANCIA,Restaurante,,,4326-0025,info@asadorlaestancia.com.ar,,,,,LAVALLE 941,SAN NICOLÁS,1,,
